,ID,Sex,Age,Weight,Color,Breed,Intake Jurisdiction,Intake Date
1,A1570687,M,1 Year 7 Months,,BLACK WHITE,ALASKAN HUSKY,HUNTINGTON BCH,4/11/2018
2,A1570848,M,2 Years,62.0 LBS,WHITE,ALASKAN HUSKY,YORBA LINDA,4/13/2018
3,A1569847,M,1 Year,47.0 LBS,BLACK WHITE,AM PIT BULL TER,ANAHEIM,4/6/2018
4,A1569453,N,6 Years,60.0 LBS,BLUE MERLE,AUST CATTLE DOG,HUNTINGTON BCH,4/4/2018
5,A1564440,M,3 Years,76.0 LBS,BLACK WHITE,BOXER MIX,ANAHEIM,2/25/2018
6,A1570772,M,4 Years,18.0 LBS,TAN WHITE,CAIRN TERRIER,ANAHEIM,4/12/2018
7,A1570777,F,3 Years,25.2 LBS,BROWN,CAIRN TERRIER,SANTA ANA,4/12/2018
8,A1570780,F,6 Years,6.2 LBS,BR BRINDLE WHITE,CHIHUAHUA SH,SANTA ANA,4/12/2018
9,A1570658,M,3 Years,3.8 LBS,TAN,CHIHUAHUA SH,ANAHEIM,4/11/2018
10,A1570906,F,2 Years,6.6 LBS,BROWN,CHIHUAHUA SH,SANTA ANA,4/13/2018
11,A1570939,M,1 Year,6.2 LBS,BROWN TAN,CHIHUAHUA SH,TUSTIN,4/13/2018
12,A1560750,M,3 Years,13.3 LBS,RED,CHIHUAHUA SH MIX,SANTA ANA CO,1/29/2018
13,A1569513,F,3 Years,12.9 LBS,BLACK WHITE,CHIHUAHUA SH MIX,SANTA ANA,4/4/2018
14,A1569514,F,25D,1.0 LBS,TAN,CHIHUAHUA SH MIX,SANTA ANA,4/4/2018
15,A1569516,M,25D,1.0 LBS,BROWN,CHIHUAHUA SH MIX,SANTA ANA,4/4/2018
16,A1569517,M,25D,1.0 LBS,WHITE,CHIHUAHUA SH MIX,SANTA ANA,4/4/2018
17,A1569518,M,25D,1.0 LBS,BLONDE,CHIHUAHUA SH MIX,SANTA ANA,4/4/2018
18,A1568373,F,8 Years,10.5 LBS,BLACK,CHIHUAHUA SH MIX,ANAHEIM,3/27/2018
19,A1570265,F,5 Years,47.5 LBS,WHITE TAN,CHINESE SHARPEI,FULLERTON,4/9/2018
20,A1570598,M,9 Years,13.0 LBS,RED WHITE,COCKER SPAN,SANTA ANA,4/11/2018
21,A1464021,S,5 Years,18.0 LBS,BUFF,COCKER SPAN,ORANGE,4/7/2018
22,A1570778,M,1 Year,14.0 LBS,BROWN BLACK,DACHSHUND MIX,FULLERTON,4/12/2018
23,A1566935,M,3 Years,20.3 LBS,BROWN WHITE,DACHSHUND LH CHIHUAHUA SH,ANAHEIM,3/17/2018
24,A1570865,M,3 Years,13.2 LBS,RED,DACHSHUND LH COCKER SPAN,SANTA ANA,4/13/2018
25,A1570105,M,1 Year 6 Months,16.2 LBS,WHITE BLACK,DACHSHUND WH CAIRN TERRIER,ORANGE,4/7/2018
26,A1570493,M,2 Years,52.0 LBS,WHITE BROWN,GERM SH POINT,LAKE FOREST,4/10/2018
27,A1567904,S,4 Years,88.0 LBS,BLACK TAN,GERM SHEPHERD,FULLERTON,4/5/2018
28,A1566279,M,6 Years,82.6 LBS,BROWN BLACK,GERM SHEPHERD,ORANGE,3/12/2018
29,A1570874,F,2 Years,58.4 LBS,BLACK,GERM SHEPHERD,SANTA ANA,4/13/2018
30,A1566721,S,1 Year 7 Months,63.0 LBS,RED BLACK,GERM SHEPHERD LABRADOR RETR,ANAHEIM,4/1/2018
31,A1570336,M,1 Year,62.0 LBS,BLACK TAN,GERM SHEPHERD MIX,OUT OF JURISDIC,4/9/2018
32,A1570380,F,2 Years,63.0 LBS,BR BRINDLE,LABRADOR RETR,ANAHEIM,4/10/2018
33,				  A1570969,            ,M,4 Years,,YELLOW,LABRADOR RETR,ORANGE
34,4/14/2018,A1476015,F,7 Years,69.6 LBS,BR BRINDLE WHITE,LABRADOR RETR MIX,HUNTINGTON BCH
35,2/8/2018,A1570866,M,2 Years,8.2 LBS,APRICOT CREAM,LHASA APSO,CYPRESS
36,4/13/2018,A1570783,M,2 Years,15.3 LBS,BLACK TAN,MANCHESTER TERR CHIHUAHUA SH,FOUNTAIN VALLEY
37,4/12/2018,A1570648,M,6 Months,9.0 LBS,CREAM APRICOT,PAPILLON,SANTA ANA
38,4/11/2018,A1570433,M,2 Years,12.5 LBS,CHOCOLATE WHITE,PARSON RUSS TER MIX,SANTA ANA
39,4/10/2018,A1570498,M,6 Years,78.0 LBS,BLUE WHITE,PIT BULL,ORANGE
40,4/10/2018,A1570398,N,2 Years,52.3 LBS,BL BRINDLE WHITE,PIT BULL,OUT OF JURISDIC
41,4/10/2018,A1570276,M,2 Years,81.0 LBS,BLUE WHITE,PIT BULL,SANTA ANA
42,4/9/2018,A1570775,F,1 Year,46.0 LBS,GRAY WHITE,PIT BULL,SANTA ANA
43,4/12/2018,A1487390,N,2 Years,60.0 LBS,FAWN WHITE,PIT BULL,ORANGE
44,2/14/2018,A1545265,S,4 Years,54.0 LBS,BROWN WHITE,PIT BULL,YORBA LINDA
45,2/3/2018,A1558941,N,2 Years,56.8 LBS,GRAY WHITE,PIT BULL,ANAHEIM
46,1/16/2018,A1560635,N,5 Years,61.0 LBS,BLUE WHITE,PIT BULL,SANTA ANA
47,1/28/2018,A1566233,N,3 Years,72.0 LBS,BLUE WHITE,PIT BULL,SANTA ANA
48,3/11/2018,A1563472,N,1 Year 2 Month,46.0 LBS,WHITE BLACK,PIT BULL,SANTA ANA
49,2/17/2018,A1564142,M,5 Years,71.0 LBS,BROWN WHITE,PIT BULL,SANTA ANA
50,2/23/2018,A1564184,N,3 Years,65.0 LBS,FAWN WHITE,PIT BULL,SANTA ANA
51,2/23/2018,A1568607,F,3 Years,53.0 LBS,BLUE WHITE,PIT BULL,ANAHEIM
52,3/29/2018,A1568806,F,4 Years,61.0 LBS,BLUE,PIT BULL,SANTA ANA
53,3/30/2018,A1569643,M,8 Years,96.0 LBS,BLUE WHITE,PIT BULL,FULLERTON
54,4/5/2018,A1570861,M,1 Year,38.0 LBS,BLACK WHITE,PIT BULL BASSET HOUND,SANTA ANA
55,4/13/2018,A1569656,M,3 Years,83.0 LBS,WHITE GRAY,PIT BULL MIX,FULLERTON
56,4/5/2018,A1567053,F,2 Years,56.0 LBS,BR BRINDLE WHITE,PIT BULL MIX,ORANGE CO
57,3/19/2018,A1567327,M,1 Year 1 Month,69.0 LBS,TAN WHITE,PIT BULL MIX,ANAHEIM
58,3/21/2018,A1232105,N,8 Years,67.6 LBS,FAWN WHITE,PIT BULL MIX,ORANGE CO FCC
59,1/22/2018,A1541636,N,3 Years,,BLUE WHITE,PIT BULL MIX,HUNTINGTON BCH
60,4/12/2018,A1570849,F,3 Years,12.0 LBS,GRAY TAN,POODLE MIN,YORBA LINDA
61,4/13/2018,A1570850,M,2 Years,15.0 LBS,WHITE,POODLE MIN,SANTA ANA
62,4/13/2018,A1570429,F,3 Years,21.6 LBS,WHITE,POODLE MIN,SANTA ANA
63,4/10/2018,A1568093,M,1 Year 1 Month,5.3 LBS,WHITE TAN,POODLE MIN MIX,TUSTIN
64,3/26/2018,A1490547,M,3 Year,16.6 LBS,BLACK,RAT TERRIER MIX,SILVERADO
65,4/13/2018,A1570776,M,4 Years,19.0 LBS,GRAY,SCHNAUZER MIN,SANTA ANA
66,4/12/2018,A1570936,M,9 Years,27.0 LBS,WHITE BROWN,SHIBA INU,ANAHEIM
67,4/13/2018,A1570479,F,4 Years,12.0 LBS,BLACK WHITE,SHIH TZU,ANAHEIM
68,4/10/2018,A1570699,M,2 Years,48.7 LBS,GRAY WHITE,SIBERIAN HUSKY,ANAHEIM
69,4/11/2018,A1568134,N,4 Years,44.0 LBS,WHITE,SIBERIAN HUSKY,SANTA ANA
70,4/9/2018,A1569452,F,2 Years,50.0 LBS,BLACK WHITE,SIBERIAN HUSKY,ANAHEIM
71,4/4/2018,A1562494,N,4 Years,111.0 LBS,TRICOLOR,ST BERNARD RGH,FULLERTON
72,2/21/2018,A1566722,N,1 Year 7 Months,17.0 LBS,WHITE,WEST HIGHLAND,ANAHEIM
73,3/15/2018,,,,,,,
